image,eligible,max_bpp
100,159885,0.609913
51,93680,0.357361
52,59128,0.225555
53,35270,0.134544
54,216292,0.825089
55,111905,0.426884
56,34841,0.132908
57,234459,0.894390
58,171481,0.654148
59,145680,0.555725
60,143369,0.546909
61,190600,0.727081
62,145280,0.554199
63,41526,0.158409
64,180201,0.687412
65,173424,0.661560
66,107525,0.410175
67,164744,0.628448
68,67797,0.258625
69,112154,0.427834
70,140903,0.537502
71,96600,0.368500
72,53494,0.204063
73,93211,0.355572
74,230746,0.880226
75,104005,0.396748
76,231205,0.881977
77,150165,0.572834
78,196271,0.748714
79,198700,0.757980
80,179875,0.686169
81,155303,0.592434
82,123915,0.472698
83,173273,0.660984
84,112177,0.427921
85,192049,0.732609
86,93640,0.357208
87,169957,0.648335
88,168408,0.642426
89,102557,0.391224
90,104420,0.398331
91,186548,0.711624
92,43853,0.167286
93,122642,0.467842
94,129948,0.495712
95,88669,0.338245
96,170086,0.648827
97,117111,0.446743
98,131658,0.502235
99,190141,0.725330
