image,carrier_psnr,carrier_ssim,classical_vcs_psnr,recovery_error,omega_sal_pct,secret_capacity_bpp,otsu_tau
100,52.711115,0.996685,5.549127,0.000000,30.245209,0.697548,0.083984
51,51.526092,0.995257,4.859122,0.000000,8.127213,0.918728,0.142578
52,51.193069,0.994410,5.145421,0.000000,1.185226,0.988148,0.169922
53,51.292895,0.993846,4.410743,0.000000,3.380966,0.966190,0.169922
54,51.685047,0.997954,4.941832,0.000000,11.622238,0.883778,0.126953
55,51.745859,0.995711,4.627299,0.000000,13.139725,0.868603,0.115234
56,51.881598,0.993875,4.693230,0.000000,15.634918,0.843651,0.103516
57,51.858437,0.998189,5.000044,0.000000,15.277481,0.847225,0.130859
58,51.177571,0.997225,4.968537,0.000000,0.827408,0.991726,0.150391
59,51.547651,0.996310,5.172057,0.000000,8.963776,0.910362,0.138672
60,51.567344,0.996363,4.702878,0.000000,9.020233,0.909798,0.056641
61,51.162894,0.997797,4.487921,0.000000,0.454712,0.995453,0.263672
62,51.454634,0.995738,4.966900,0.000000,7.093430,0.929066,0.091797
63,51.498698,0.993863,3.688327,0.000000,7.641602,0.923584,0.158203
64,51.941579,0.997606,4.462653,0.000000,16.743469,0.832565,0.115234
65,52.370348,0.996797,5.197079,0.000000,24.523544,0.754765,0.173828
66,51.336623,0.995324,5.130621,0.000000,4.126740,0.958733,0.087891
67,51.627075,0.996859,4.458111,0.000000,10.743332,0.892567,0.095703
68,51.186870,0.994730,4.294053,0.000000,0.970078,0.990299,0.099609
69,51.612868,0.995645,5.087101,0.000000,9.973145,0.900269,0.091797
70,51.922855,0.996467,5.319116,0.000000,16.442490,0.835575,0.083984
71,51.858241,0.995422,5.333069,0.000000,15.277863,0.847221,0.115234
72,51.282648,0.994145,4.900874,0.000000,3.105164,0.968948,0.134766
73,51.494815,0.995075,5.114678,0.000000,8.266068,0.917339,0.119141
74,51.618153,0.998112,5.516947,0.000000,10.363007,0.896370,0.177734
75,51.277413,0.995176,4.206325,0.000000,3.069305,0.969307,0.185547
76,51.248380,0.998019,5.248072,0.000000,2.315521,0.976845,0.197265
77,52.410417,0.997094,4.510165,0.000000,25.284958,0.747150,0.091797
78,52.686452,0.997545,5.278071,0.000000,30.172348,0.698277,0.166015
79,51.928253,0.998093,4.744775,0.000000,16.731644,0.832684,0.138672
80,51.215932,0.997095,4.990345,0.000000,1.933289,0.980667,0.169922
81,51.585291,0.996808,5.265866,0.000000,9.864807,0.901352,0.173828
82,51.320985,0.996025,4.714428,0.000000,4.256821,0.957432,0.103516
83,52.600476,0.997374,4.741472,0.000000,28.524399,0.714756,0.095703
84,51.184761,0.995809,4.829775,0.000000,0.764084,0.992359,0.189453
85,51.967513,0.997382,5.201266,0.000000,17.216110,0.827839,0.130859
86,51.626778,0.995761,4.612428,0.000000,10.666275,0.893337,0.115234
87,51.903224,0.996727,5.342266,0.000000,16.448593,0.835514,0.083984
88,51.966511,0.997173,5.417576,0.000000,17.466354,0.825336,0.103516
89,51.759477,0.995126,4.922909,0.000000,13.131714,0.868683,0.142578
90,51.320812,0.995630,5.119802,0.000000,4.001617,0.959984,0.130859
91,54.085179,0.997792,5.552069,0.000000,49.285889,0.507141,0.193359
92,51.297221,0.993539,4.790338,0.000000,3.483582,0.965164,0.068359
93,52.733527,0.995628,5.179105,0.000000,30.652237,0.693478,0.212890
94,51.709375,0.996039,4.762130,0.000000,12.410736,0.875893,0.177734
95,51.402488,0.995440,4.224293,0.000000,5.957413,0.940426,0.130859
96,51.938672,0.997251,4.138929,0.000000,16.843796,0.831562,0.142578
97,51.559420,0.995880,4.090681,0.000000,9.194946,0.908051,0.107422
98,51.928412,0.996161,4.906967,0.000000,16.432953,0.835670,0.095703
99,51.285832,0.997369,4.604289,0.000000,3.346634,0.966534,0.177734
